record_id,record_date,track_world_code,route_code,player_id,vehicle_variant_code,platform_code,system_code,lap_time_text,record_channel,review_status,event_code,season_code,submission_note
rec_001,2026-05-03,tw_h9_nightfall,full,plr_azuma,evo3_night,pcvr,physics_2026_05,02:49.001,approved_record,approved,ev_2026_s1_q1,2026_s1,Initial approved submission.
rec_002,2026-05-07,tw_h9_nightfall,full,plr_rin,fc3s_pass,pcvr,physics_2026_05,02:49.120,approved_record,approved,ev_2026_s1_q1,2026_s1,Qualifier run with witness clip.
rec_003,2026-05-10,tw_h9_nightfall,full,plr_azuma,evo3_night,pcvr,physics_2026_05,02:48.392,approved_record,approved,ev_2026_s1_q1,2026_s1,Improved exit speed through sector three.
rec_004,2026-05-15,tw_h9_nightfall,full,plr_momo,evo3_club,desktop,physics_2026_05,02:49.887,approved_record,pending,ev_2026_s1_round1,2026_s1,Pending FPS and witness review.
rec_005,2026-05-16,tw_h9_nightfall,full,plr_kai,sw20_mid,pcvr,physics_2026_05,02:50.611,normal_time_attack,pending,ev_2026_s1_round1,2026_s1,Practice lap after club session.
rec_006,2026-05-17,tw_h9_nightfall,full,plr_sora,civic_ek9,pcvr,physics_2026_05,02:51.004,normal_time_attack,pending,,2026_s1,Open practice run.
rec_007,2026-05-04,tw_h9_nightfall,reverse,plr_rin,fc3s_pass,pcvr,physics_2026_05,01:35.600,approved_record,approved,ev_2026_s1_q1,2026_s1,First published reverse benchmark.
rec_008,2026-05-12,tw_h9_nightfall,reverse,plr_rin,fc3s_pass,pcvr,physics_2026_05,01:34.801,approved_record,approved,ev_2026_s1_q1,2026_s1,Qualified clean run.
rec_009,2026-05-13,tw_h9_nightfall,reverse,plr_azuma,evo3_night,pcvr,physics_2026_05,01:35.220,approved_record,approved,ev_2026_s1_q1,2026_s1,Counter attempt.
rec_010,2026-05-18,tw_h9_nightfall,reverse,plr_kai,sw20_mid,pcvr,physics_2026_05,01:35.904,normal_time_attack,pending,ev_2026_s1_round1,2026_s1,Practice attack.
rec_011,2026-05-18,tw_h9_nightfall,reverse,plr_momo,civic_ek9,desktop,physics_2026_05,01:36.048,normal_time_attack,pending,,2026_s1,Late-night run.
rec_012,2026-05-06,tw_lakeside_pass,main,plr_kai,sw20_mid,pcvr,physics_2026_05,03:13.004,approved_record,approved,ev_2026_s1_q1,2026_s1,Baseline uphill qualifier.
rec_013,2026-05-14,tw_lakeside_pass,main,plr_azuma,evo3_club,pcvr,physics_2026_05,03:11.985,approved_record,approved,ev_2026_s1_round1,2026_s1,Current benchmark climb.
rec_014,2026-05-19,tw_lakeside_pass,main,plr_momo,evo3_club,desktop,physics_2026_05,03:12.912,approved_record,rejected,ev_2026_s1_round1,2026_s1,Rejected due to unstable frame rate.
rec_015,2026-05-20,tw_lakeside_pass,main,plr_rin,fc3s_pass,pcvr,physics_2026_05,03:13.780,normal_time_attack,pending,,2026_s1,Practice lap on the new setup.
rec_016,2026-05-21,tw_lakeside_pass,main,plr_sora,civic_ek9,pcvr,physics_2026_05,03:14.102,normal_time_attack,pending,,2026_s1,Community run.
rec_017,2026-05-22,tw_lakeside_pass,main,plr_kai,sw20_mid,pcvr,physics_2026_05,03:12.441,normal_time_attack,pending,ev_2026_s1_round1,2026_s1,Club ladder attempt.
rec_018,2026-05-22,tw_h9_nightfall,full,plr_rin,fc3s_pass,pcvr,physics_2026_05,02:48.921,normal_time_attack,pending,ev_2026_s1_round1,2026_s1,Open-board test with the FC setup.
rec_019,2026-05-23,tw_lakeside_pass,main,plr_sora,civic_ek9,desktop,physics_2026_05,03:13.644,approved_record,pending,ev_2026_s1_round1,2026_s1,Submitted for witness check.
